algorithm,n_queens,seed,found,time_seconds,nodes_explored
forward_checking_first_unassigned_variable_default_order,4,15,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,16,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,17,True,2.8e-05,8
forward_checking_first_unassigned_variable_default_order,4,18,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,19,True,2.8e-05,8
forward_checking_first_unassigned_variable_default_order,4,20,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,21,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,22,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,23,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,24,True,4e-05,8
forward_checking_first_unassigned_variable_default_order,4,25,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,26,True,2.8e-05,8
forward_checking_first_unassigned_variable_default_order,4,27,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,28,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,29,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,4,30,True,2.9e-05,8
forward_checking_first_unassigned_variable_default_order,8,1,True,0.000435,89
forward_checking_first_unassigned_variable_default_order,8,2,True,0.000437,89
forward_checking_first_unassigned_variable_default_order,8,3,True,0.00042,89
forward_checking_first_unassigned_variable_default_order,8,4,True,0.000418,89
forward_checking_first_unassigned_variable_default_order,8,5,True,0.000417,89
forward_checking_first_unassigned_variable_default_order,8,6,True,0.000515,89
forward_checking_first_unassigned_variable_default_order,8,7,True,0.000674,89
forward_checking_first_unassigned_variable_default_order,8,8,True,0.000701,89
forward_checking_first_unassigned_variable_default_order,8,9,True,0.000684,89
forward_checking_first_unassigned_variable_default_order,8,10,True,0.000671,89
forward_checking_first_unassigned_variable_default_order,8,11,True,0.000864,89
forward_checking_first_unassigned_variable_default_order,8,12,True,0.000742,89
forward_checking_first_unassigned_variable_default_order,8,13,True,0.002044,89
forward_checking_first_unassigned_variable_default_order,8,14,True,0.000756,89
forward_checking_first_unassigned_variable_default_order,8,15,True,0.000646,89
forward_checking_first_unassigned_variable_default_order,8,16,True,0.000606,89
forward_checking_first_unassigned_variable_default_order,8,17,True,0.000844,89
forward_checking_first_unassigned_variable_default_order,8,18,True,0.000772,89
forward_checking_first_unassigned_variable_default_order,8,19,True,0.000696,89
forward_checking_first_unassigned_variable_default_order,8,20,True,0.000697,89
forward_checking_first_unassigned_variable_default_order,8,21,True,0.000756,89
forward_checking_first_unassigned_variable_default_order,8,22,True,0.000744,89
forward_checking_first_unassigned_variable_default_order,8,23,True,0.000703,89
forward_checking_first_unassigned_variable_default_order,8,24,True,0.000609,89
forward_checking_first_unassigned_variable_default_order,8,25,True,0.000499,89
forward_checking_first_unassigned_variable_default_order,8,26,True,0.000425,89
forward_checking_first_unassigned_variable_default_order,8,27,True,0.00047,89
forward_checking_first_unassigned_variable_default_order,8,28,True,0.000432,89
forward_checking_first_unassigned_variable_default_order,8,29,True,0.000429,89
forward_checking_first_unassigned_variable_default_order,8,30,True,0.000788,89
forward_checking_first_unassigned_variable_default_order,10,1,True,0.000715,73
forward_checking_first_unassigned_variable_default_order,10,2,True,0.000707,73
forward_checking_first_unassigned_variable_default_order,10,3,True,0.000651,73
forward_checking_first_unassigned_variable_default_order,10,4,True,0.000658,73
forward_checking_first_unassigned_variable_default_order,10,5,True,0.000674,73
forward_checking_first_unassigned_variable_default_order,10,6,True,0.000503,73
forward_checking_first_unassigned_variable_default_order,10,7,True,0.000438,73
forward_checking_first_unassigned_variable_default_order,10,8,True,0.000407,73
forward_checking_first_unassigned_variable_default_order,10,9,True,0.000417,73
forward_checking_first_unassigned_variable_default_order,10,10,True,0.000407,73
forward_checking_first_unassigned_variable_default_order,10,11,True,0.000405,73
forward_checking_first_unassigned_variable_default_order,10,12,True,0.000413,73
forward_checking_first_unassigned_variable_default_order,10,13,True,0.000406,73
forward_checking_first_unassigned_variable_default_order,10,14,True,0.000416,73
forward_checking_first_unassigned_variable_default_order,10,15,True,0.0004,73
forward_checking_first_unassigned_variable_default_order,10,16,True,0.000398,73
forward_checking_first_unassigned_variable_default_order,10,17,True,0.000524,73
forward_checking_first_unassigned_variable_default_order,10,18,True,0.000413,73
forward_checking_first_unassigned_variable_default_order,10,19,True,0.000416,73
forward_checking_first_unassigned_variable_default_order,10,20,True,0.000404,73
forward_checking_first_unassigned_variable_default_order,10,21,True,0.000412,73
forward_checking_first_unassigned_variable_default_order,10,22,True,0.000399,73
forward_checking_first_unassigned_variable_default_order,10,23,True,0.000407,73
forward_checking_first_unassigned_variable_default_order,10,24,True,0.000396,73
forward_checking_first_unassigned_variable_default_order,10,25,True,0.000396,73
forward_checking_first_unassigned_variable_default_order,10,26,True,0.000425,73
forward_checking_first_unassigned_variable_default_order,10,27,True,0.000412,73
forward_checking_first_unassigned_variable_default_order,10,28,True,0.000418,73
forward_checking_first_unassigned_variable_default_order,10,29,True,0.000405,73
forward_checking_first_unassigned_variable_default_order,10,30,True,0.000405,73
forward_checking_first_unassigned_variable_default_order,12,1,True,0.001074,176
forward_checking_first_unassigned_variable_default_order,12,2,True,0.001673,176
forward_checking_first_unassigned_variable_default_order,12,3,True,0.001718,176
forward_checking_first_unassigned_variable_default_order,12,4,True,0.001575,176
forward_checking_first_unassigned_variable_default_order,12,5,True,0.001061,176
forward_checking_first_unassigned_variable_default_order,12,6,True,0.001106,176
forward_checking_first_unassigned_variable_default_order,12,7,True,0.001116,176
forward_checking_first_unassigned_variable_default_order,12,8,True,0.001103,176
forward_checking_first_unassigned_variable_default_order,12,9,True,0.001617,176
forward_checking_first_unassigned_variable_default_order,12,10,True,0.001072,176
forward_checking_first_unassigned_variable_default_order,12,11,True,0.001065,176
forward_checking_first_unassigned_variable_default_order,12,12,True,0.001074,176
forward_checking_first_unassigned_variable_default_order,12,13,True,0.001058,176
forward_checking_first_unassigned_variable_default_order,12,14,True,0.001183,176
forward_checking_first_unassigned_variable_default_order,12,15,True,0.001544,176
forward_checking_first_unassigned_variable_default_order,12,16,True,0.00179,176
forward_checking_first_unassigned_variable_default_order,12,17,True,0.00138,176
forward_checking_first_unassigned_variable_default_order,12,18,True,0.001055,176
forward_checking_first_unassigned_variable_default_order,12,19,True,0.001056,176
forward_checking_first_unassigned_variable_default_order,12,20,True,0.001058,176
forward_checking_first_unassigned_variable_default_order,12,21,True,0.001083,176
forward_checking_first_unassigned_variable_default_order,12,22,True,0.001074,176
forward_checking_first_unassigned_variable_default_order,12,23,True,0.001704,176
forward_checking_first_unassigned_variable_default_order,12,24,True,0.001774,176
forward_checking_first_unassigned_variable_default_order,12,25,True,0.001834,176
forward_checking_first_unassigned_variable_default_order,12,26,True,0.001715,176
forward_checking_first_unassigned_variable_default_order,12,27,True,0.002466,176
forward_checking_first_unassigned_variable_default_order,12,28,True,0.001819,176
forward_checking_first_unassigned_variable_default_order,12,29,True,0.001877,176
forward_checking_first_unassigned_variable_default_order,12,30,True,0.00157,176
forward_checking_first_unassigned_variable_default_order,15,1,True,0.010323,1232
forward_checking_first_unassigned_variable_default_order,15,2,True,0.009598,1232
forward_checking_first_unassigned_variable_default_order,15,3,True,0.012899,1232
forward_checking_first_unassigned_variable_default_order,15,4,True,0.014769,1232
forward_checking_first_unassigned_variable_default_order,15,5,True,0.011462,1232
forward_checking_first_unassigned_variable_default_order,15,6,True,0.008972,1232
forward_checking_first_unassigned_variable_default_order,15,7,True,0.013427,1232
forward_checking_first_unassigned_variable_default_order,15,8,True,0.009805,1232
forward_checking_first_unassigned_variable_default_order,15,9,True,0.008024,1232
forward_checking_first_unassigned_variable_default_order,15,10,True,0.010201,1232
forward_checking_first_unassigned_variable_default_order,15,11,True,0.012124,1232
forward_checking_first_unassigned_variable_default_order,15,12,True,0.009601,1232
forward_checking_first_unassigned_variable_default_order,15,13,True,0.009649,1232
forward_checking_first_unassigned_variable_default_order,15,14,True,0.013276,1232
forward_checking_first_unassigned_variable_default_order,15,15,True,0.011473,1232
forward_checking_first_unassigned_variable_default_order,15,16,True,0.00885,1232
forward_checking_first_unassigned_variable_default_order,15,17,True,0.009959,1232
forward_checking_first_unassigned_variable_default_order,15,18,True,0.007961,1232
forward_checking_first_unassigned_variable_default_order,15,19,True,0.011253,1232
forward_checking_first_unassigned_variable_default_order,15,20,True,0.013208,1232
forward_checking_first_unassigned_variable_default_order,15,21,True,0.012821,1232
forward_checking_first_unassigned_variable_default_order,15,22,True,0.011977,1232
forward_checking_first_unassigned_variable_default_order,15,23,True,0.008578,1232
forward_checking_first_unassigned_variable_default_order,15,24,True,0.012867,1232
forward_checking_first_unassigned_variable_default_order,15,25,True,0.01124,1232
forward_checking_first_unassigned_variable_default_order,15,26,True,0.009382,1232
forward_checking_first_unassigned_variable_default_order,15,27,True,0.012078,1232
forward_checking_first_unassigned_variable_default_order,15,28,True,0.010004,1232
forward_checking_first_unassigned_variable_default_order,15,29,True,0.012058,1232
forward_checking_first_unassigned_variable_default_order,15,30,True,0.01188,1232
backtracking_first_unassigned_variable_lcv,4,1,True,0.000135,8
backtracking_first_unassigned_variable_lcv,4,2,True,0.000108,8
backtracking_first_unassigned_variable_lcv,4,3,True,0.000104,8
backtracking_first_unassigned_variable_lcv,4,4,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,5,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,6,True,0.000129,8
backtracking_first_unassigned_variable_lcv,4,7,True,0.000105,8
backtracking_first_unassigned_variable_lcv,4,8,True,0.000105,8
backtracking_first_unassigned_variable_lcv,4,9,True,0.000259,8
backtracking_first_unassigned_variable_lcv,4,10,True,0.000108,8
backtracking_first_unassigned_variable_lcv,4,11,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,12,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,13,True,0.000113,8
backtracking_first_unassigned_variable_lcv,4,14,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,15,True,0.000107,8
backtracking_first_unassigned_variable_lcv,4,16,True,0.000106,8
backtracking_first_unassigned_variable_lcv,4,17,True,0.000105,8
backtracking_first_unassigned_variable_lcv,4,18,True,0.000108,8
backtracking_first_unassigned_variable_lcv,4,19,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,20,True,0.000102,8
backtracking_first_unassigned_variable_lcv,4,21,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,22,True,0.000113,8
backtracking_first_unassigned_variable_lcv,4,23,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,24,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,25,True,0.000104,8
backtracking_first_unassigned_variable_lcv,4,26,True,0.000104,8
backtracking_first_unassigned_variable_lcv,4,27,True,0.000104,8
backtracking_first_unassigned_variable_lcv,4,28,True,0.000103,8
backtracking_first_unassigned_variable_lcv,4,29,True,0.000103,8
