algorithm_name,env_n,size,best_solution,H,states,time
HC,20,12,"(8, 10, 2, 4, 1, 7, 9, 11, 6, 0, 3, 5)",66,200,0.0008504390716552734
HC,21,12,"(6, 8, 10, 2, 7, 9, 1, 3, 5, 11, 0, 4)",65,266,0.0013043880462646484
HC,22,12,"(8, 11, 4, 0, 3, 5, 9, 2, 6, 10, 1, 7)",66,332,0.0018885135650634766
HC,23,12,"(4, 1, 8, 11, 7, 3, 0, 2, 10, 6, 9, 5)",65,266,0.0011339187622070312
HC,24,12,"(11, 2, 8, 6, 3, 1, 10, 5, 0, 9, 7, 4)",66,200,0.0007698535919189453
HC,25,12,"(6, 11, 3, 1, 7, 10, 2, 0, 5, 9, 4, 8)",65,200,0.0011181831359863281
HC,26,12,"(11, 3, 10, 6, 9, 2, 0, 7, 8, 1, 5, 4)",64,200,0.0008244514465332031
HC,27,12,"(10, 7, 4, 0, 3, 9, 6, 2, 11, 1, 8, 5)",65,200,0.0012104511260986328
HC,28,12,"(1, 3, 8, 10, 2, 11, 5, 7, 4, 0, 9, 6)",64,134,0.0015599727630615234
HC,29,12,"(8, 2, 9, 4, 1, 7, 10, 3, 6, 0, 5, 11)",65,332,0.0012683868408203125
HC,0,15,"(8, 6, 11, 14, 0, 4, 13, 7, 3, 2, 12, 5, 9, 10, 1)",103,317,0.001367807388305664
HC,1,15,"(5, 9, 12, 1, 4, 14, 7, 11, 3, 2, 6, 13, 0, 10, 8)",104,422,0.002094745635986328
HC,2,15,"(13, 9, 7, 1, 11, 0, 2, 4, 14, 8, 10, 12, 6, 3, 5)",105,632,0.002820730209350586
HC,3,15,"(3, 10, 8, 2, 14, 13, 7, 1, 4, 0, 5, 11, 9, 6, 12)",104,422,0.0018229484558105469
HC,4,15,"(6, 4, 11, 1, 3, 7, 2, 12, 10, 0, 14, 8, 5, 13, 9)",103,422,0.0018572807312011719
HC,5,15,"(9, 3, 10, 0, 11, 8, 5, 12, 6, 1, 14, 7, 13, 4, 2)",105,527,0.002307891845703125
HC,6,15,"(11, 13, 1, 7, 4, 12, 9, 2, 5, 10, 8, 0, 14, 3, 6)",104,527,0.002238035202026367
HC,7,15,"(9, 2, 6, 10, 1, 11, 8, 5, 13, 4, 0, 7, 3, 12, 14)",104,527,0.0023174285888671875
HC,8,15,"(3, 5, 0, 12, 14, 6, 11, 1, 8, 4, 2, 10, 7, 9, 13)",103,422,0.0018537044525146484
HC,9,15,"(12, 9, 5, 2, 14, 10, 0, 7, 3, 11, 6, 8, 1, 4, 13)",104,527,0.002295970916748047
HC,10,15,"(14, 1, 5, 7, 11, 13, 3, 9, 12, 8, 2, 0, 10, 6, 4)",103,527,0.0024690628051757812
HC,11,15,"(2, 13, 8, 1, 11, 6, 3, 7, 12, 4, 9, 14, 0, 5, 10)",104,422,0.0018987655639648438
HC,12,15,"(7, 10, 4, 14, 12, 5, 2, 11, 0, 6, 3, 9, 13, 1, 8)",104,422,0.002035379409790039
HC,13,15,"(4, 0, 10, 12, 5, 3, 11, 6, 14, 9, 1, 13, 2, 8, 7)",103,527,0.002359628677368164
HC,14,15,"(6, 1, 14, 10, 8, 2, 9, 12, 3, 5, 0, 13, 11, 4, 7)",105,632,0.002771139144897461
HC,15,15,"(5, 0, 8, 11, 13, 2, 10, 14, 7, 3, 1, 9, 12, 6, 4)",104,422,0.0018439292907714844
HC,16,15,"(9, 2, 13, 7, 6, 3, 12, 0, 5, 14, 4, 1, 11, 8, 10)",103,422,0.0019130706787109375
HC,17,15,"(3, 6, 11, 2, 5, 12, 4, 9, 0, 13, 1, 8, 14, 7, 10)",104,422,0.002164602279663086
HC,18,15,"(7, 1, 10, 2, 0, 3, 9, 11, 13, 8, 12, 6, 4, 14, 5)",103,422,0.0020666122436523438
HC,19,15,"(7, 3, 6, 8, 1, 11, 0, 12, 2, 4, 10, 14, 5, 9, 13)",103,422,0.0018525123596191406
HC,20,15,"(7, 11, 10, 0, 4, 1, 5, 13, 2, 12, 8, 6, 3, 14, 9)",103,422,0.0018296241760253906
HC,21,15,"(0, 6, 9, 13, 10, 4, 7, 3, 12, 8, 11, 1, 14, 2, 5)",103,317,0.0013589859008789062
HC,22,15,"(11, 5, 3, 1, 9, 7, 13, 0, 2, 8, 6, 14, 12, 10, 4)",105,527,0.0023484230041503906
HC,23,15,"(5, 12, 4, 6, 0, 9, 14, 1, 3, 8, 2, 11, 13, 10, 7)",105,422,0.0019974708557128906
HC,24,15,"(6, 13, 9, 2, 0, 14, 10, 5, 1, 11, 7, 12, 3, 8, 4)",105,737,0.003226041793823242
HC,25,15,"(6, 8, 3, 13, 0, 7, 4, 10, 12, 14, 9, 11, 2, 5, 1)",105,632,0.0027205944061279297
HC,26,15,"(6, 3, 10, 13, 11, 9, 2, 12, 1, 4, 7, 0, 8, 5, 14)",104,527,0.00250244140625
HC,27,15,"(10, 7, 11, 3, 12, 4, 1, 8, 6, 14, 2, 13, 5, 9, 0)",104,422,0.0019865036010742188
