algorithm_name,env_n,size,best_solution,H,states,time
HC,9,15,"(12, 9, 5, 2, 13, 10, 0, 7, 3, 11, 6, 8, 1, 14, 4)",105,525,0.01508331298828125
HC,10,15,"(9, 11, 5, 3, 1, 13, 7, 14, 12, 8, 4, 0, 10, 6, 2)",105,735,0.022470474243164062
HC,11,15,"(2, 13, 8, 1, 11, 6, 3, 7, 12, 4, 9, 14, 0, 5, 10)",104,420,0.011385917663574219
HC,12,15,"(7, 4, 1, 8, 12, 5, 2, 11, 14, 6, 3, 9, 13, 10, 0)",104,420,0.011451005935668945
HC,13,15,"(4, 2, 5, 10, 12, 3, 11, 9, 14, 6, 1, 7, 0, 8, 13)",104,630,0.018045902252197266
HC,14,15,"(1, 6, 11, 13, 8, 3, 9, 12, 2, 5, 10, 0, 14, 4, 7)",104,525,0.01683330535888672
HC,15,15,"(3, 12, 8, 11, 13, 2, 10, 14, 7, 5, 1, 9, 0, 6, 4)",104,420,0.012500762939453125
HC,16,15,"(5, 8, 13, 4, 6, 3, 12, 7, 11, 2, 14, 1, 9, 0, 10)",104,525,0.015376567840576172
HC,17,15,"(3, 6, 12, 2, 5, 11, 4, 10, 0, 13, 1, 8, 14, 7, 9)",104,420,0.008525848388671875
HC,18,15,"(6, 1, 10, 7, 5, 14, 9, 13, 3, 8, 12, 2, 4, 11, 0)",104,630,0.014115571975708008
HC,19,15,"(7, 2, 13, 8, 1, 11, 4, 6, 0, 3, 10, 14, 5, 9, 12)",104,525,0.014040708541870117
HC,20,15,"(14, 11, 7, 4, 9, 1, 5, 13, 0, 12, 8, 6, 3, 10, 2)",104,525,0.018332719802856445
HC,21,15,"(0, 6, 11, 13, 10, 4, 9, 3, 12, 2, 7, 1, 14, 8, 5)",105,420,0.010901927947998047
HC,22,15,"(11, 5, 3, 1, 9, 7, 13, 0, 2, 8, 6, 14, 12, 10, 4)",105,525,0.014711618423461914
HC,23,15,"(5, 12, 4, 6, 0, 9, 14, 1, 3, 8, 2, 11, 13, 10, 7)",105,420,0.012166976928710938
HC,24,15,"(2, 6, 9, 11, 0, 14, 10, 5, 1, 13, 7, 12, 3, 8, 4)",104,630,0.017240047454833984
HC,25,15,"(6, 8, 14, 0, 9, 7, 1, 10, 12, 2, 4, 11, 3, 5, 13)",105,630,0.01664113998413086
HC,26,15,"(11, 3, 10, 6, 2, 9, 13, 0, 14, 4, 7, 12, 8, 5, 1)",105,630,0.019976139068603516
HC,27,15,"(3, 7, 0, 10, 12, 4, 6, 8, 2, 14, 1, 13, 5, 9, 11)",105,630,0.017195701599121094
HC,28,15,"(1, 11, 2, 8, 10, 12, 3, 9, 6, 13, 5, 14, 0, 7, 4)",103,315,0.011217117309570312
HC,29,15,"(13, 1, 5, 9, 11, 4, 8, 12, 3, 6, 0, 7, 10, 14, 2)",104,315,0.008027076721191406
SA,0,4,"(1, 3, 0, 2)",6,6,0.00011014938354492188
SA,1,4,"(1, 3, 0, 2)",6,102,0.0005047321319580078
SA,2,4,"(2, 0, 3, 1)",6,48,0.00027441978454589844
SA,3,4,"(2, 0, 3, 1)",6,66,0.0003459453582763672
SA,4,4,"(1, 3, 0, 2)",6,0,1.3113021850585938e-05
SA,5,4,"(1, 3, 0, 2)",6,108,0.0005185604095458984
