agent_type,environment_size,dirt_rate,total_dirt_cells,timestamp,server_url,environment_id,final_performance,total_actions,successful_actions,completion_reason,steps_to_completion
SimpleReflexAgent,"[2, 2]",0.2,0,2025-10-05T19:08:27.677092,http://localhost:5000,b0d79ee6-61e9-4b94-a9f6-94d807f84e96,0,0,0,all_cleaned,0
SimpleReflexAgent,"[8, 8]",0.8,51,2025-10-05T19:14:04.471370,http://localhost:5000,69ce6d45-bf57-40a5-a30c-500b073498fd,50,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.8,819,2025-10-05T19:35:02.378122,http://localhost:5000,d96624a2-f895-4d5b-b656-7d6357390cfb,233,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.8,12,2025-10-05T19:10:17.943542,http://localhost:5000,058c4ae3-f70c-4472-817f-7357f524c245,12,81,81,all_cleaned,81
SimpleReflexAgent,"[8, 8]",0.4,25,2025-10-05T19:12:54.353518,http://localhost:5000,b2a3708f-5699-4dab-a4c3-6d10e3aa8657,25,431,431,all_cleaned,431
SimpleReflexAgent,"[2, 2]",0.2,0,2025-10-05T19:08:26.338225,http://localhost:5000,c0487d73-f087-4748-9a20-cc768ebe63b6,0,0,0,all_cleaned,0
SimpleReflexAgent,"[8, 8]",0.2,12,2025-10-05T19:12:24.086645,http://localhost:5000,52561713-54a1-44c6-a70e-8a257df3beb1,12,555,555,all_cleaned,555
SimpleReflexAgent,"[8, 8]",0.2,12,2025-10-05T19:11:51.837966,http://localhost:5000,ae5ff004-d958-4566-a8ff-819ed77e9d07,12,407,407,all_cleaned,407
SimpleReflexAgent,"[32, 32]",0.4,409,2025-10-05T19:31:25.029223,http://localhost:5000,08ae7e95-19c1-4fa7-aaae-ed98c4bc3c8c,94,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[16, 16]",0.4,102,2025-10-05T19:21:56.571128,http://localhost:5000,0bc559ec-cd77-4942-a50d-641b817ceb32,63,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.1,1,2025-10-05T19:09:02.732859,http://localhost:5000,6d84bdf0-33f5-46fb-a7e4-5cfd44f078ea,1,51,51,all_cleaned,51
SimpleReflexAgent,"[16, 16]",0.4,102,2025-10-05T19:21:42.203945,http://localhost:5000,ac7b41cf-07b8-4b84-b402-b46d49b357ee,78,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.4,409,2025-10-05T19:32:31.808401,http://localhost:5000,34d0d3d1-4aef-445d-b1dd-92177a83edd7,86,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[16, 16]",0.1,25,2025-10-05T19:17:36.223891,http://localhost:5000,8c55e29d-7919-4093-b01a-f3633830a82c,24,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[8, 8]",0.4,25,2025-10-05T19:12:32.301610,http://localhost:5000,0b21c706-895a-4d50-a845-558b005edab4,25,546,546,all_cleaned,546
SimpleReflexAgent,"[16, 16]",0.8,204,2025-10-05T19:25:04.667009,http://localhost:5000,746d3527-cece-40ec-9990-7f2c0339bbec,149,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.8,12,2025-10-05T19:09:58.877873,http://localhost:5000,39c2f8d3-55bb-40b8-801e-61327df7c7a6,12,89,89,all_cleaned,89
SimpleReflexAgent,"[4, 4]",0.8,12,2025-10-05T19:10:13.260659,http://localhost:5000,9da6bacc-c144-4aa8-82e2-5ea946d50b3c,12,74,74,all_cleaned,74
SimpleReflexAgent,"[2, 2]",0.1,0,2025-10-05T19:08:12.894154,http://localhost:5000,62948b63-ea39-496f-89dc-53802b17b0f5,0,0,0,all_cleaned,0
SimpleReflexAgent,"[16, 16]",0.8,204,2025-10-05T19:23:23.437688,http://localhost:5000,1dc86d84-68ff-43ce-b89d-cb6279cb0a7c,122,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[8, 8]",0.1,6,2025-10-05T19:10:36.771283,http://localhost:5000,8085ac13-4efa-49f7-b8ff-eeaf09de66f3,6,234,234,all_cleaned,234
SimpleReflexAgent,"[8, 8]",0.2,12,2025-10-05T19:11:39.390044,http://localhost:5000,19f22f5f-d70b-48d9-b3e8-58f818434f1b,12,418,418,all_cleaned,418
SimpleReflexAgent,"[8, 8]",0.8,51,2025-10-05T19:15:28.676627,http://localhost:5000,9b5496d5-31a1-4d8b-904d-dd08c3a8b1e3,51,846,846,all_cleaned,846
SimpleReflexAgent,"[64, 64]",0.8,3276,2025-10-05T19:50:10.831115,http://localhost:5000,e20f2392-43c4-4bce-b263-73d8d4023270,212,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[16, 16]",0.2,51,2025-10-05T19:18:48.582101,http://localhost:5000,4dcdc012-4861-4871-86ea-20bbe934da18,38,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.2,204,2025-10-05T19:28:38.611435,http://localhost:5000,58956ea6-3e89-407b-82a9-67fa2e7a5e0b,49,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[2, 2]",0.2,0,2025-10-05T19:08:20.982882,http://localhost:5000,515715ba-9f5a-45f6-be73-0e6d6151b891,0,0,0,all_cleaned,0
SimpleReflexAgent,"[2, 2]",0.8,3,2025-10-05T19:08:52.813503,http://localhost:5000,96a0b1e8-fa8d-45e4-aaf9-ae0d1fd0960a,3,8,8,all_cleaned,8
SimpleReflexAgent,"[8, 8]",0.4,25,2025-10-05T19:13:01.108816,http://localhost:5000,3a83de85-9d94-48a1-8e8d-a66e60e61ee1,25,374,374,all_cleaned,374
SimpleReflexAgent,"[8, 8]",0.8,51,2025-10-05T19:15:06.531842,http://localhost:5000,ac2c6dcf-52b7-4637-8d6b-cd04c755477e,51,603,603,all_cleaned,603
SimpleReflexAgent,"[4, 4]",0.4,6,2025-10-05T19:09:48.160116,http://localhost:5000,550fa3e6-5d0d-473e-9194-9eb3f101abe2,6,68,68,all_cleaned,68
SimpleReflexAgent,"[32, 32]",0.1,102,2025-10-05T19:26:59.056877,http://localhost:5000,d82f59ee-8cf3-4404-abcc-ca8978998351,18,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[2, 2]",0.4,1,2025-10-05T19:08:38.720673,http://localhost:5000,b8188c97-461b-4bd8-a045-e3c8cafa14de,1,3,3,all_cleaned,3
SimpleReflexAgent,"[8, 8]",0.8,51,2025-10-05T19:14:28.356081,http://localhost:5000,48fdea8b-af3d-4d62-b8ea-03cd0e475d55,51,557,557,all_cleaned,557
SimpleReflexAgent,"[8, 8]",0.8,51,2025-10-05T19:14:37.050633,http://localhost:5000,e63db9bc-624a-4edf-87bc-0426ef12e195,51,890,890,all_cleaned,890
